claim_id,claim_type,description,claim_amount,policy_age_months,prior_claims_count,prior_payout_total,days_since_policy_start_to_incident,claim_filed_delay_days,documentation_completeness,num_documents_submitted,claim_to_policy_value_ratio,has_witness,channel,claimant_age,is_fraud
CLM1016,property,Pipe burst in the basement causing water damage to furniture.,8448.46,20,2,3926.52,587,48,0.92,7,0.01,1,call_center,25,0
CLM1017,auto,"Collision on the highway, front end damage and airbag deployed.",3249.77,35,1,1134.96,161,3,0.56,3,0.619,1,online,50,0
CLM1018,property,Pipe burst in the basement causing water damage to furniture.,7254.36,59,0,157.95,375,21,0.57,3,0.532,1,online,63,0
CLM1019,auto,Windshield cracked by a falling branch during a storm.,5775.6,111,0,0.0,453,59,0.65,4,0.305,0,agent,65,1
CLM1020,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",844.14,53,2,3376.74,253,20,0.96,7,0.393,1,call_center,49,0
CLM1021,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",2893.08,24,0,29.1,943,21,1.0,4,0.422,1,agent,40,0
CLM1022,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",1145.09,93,0,257.52,538,34,1.0,11,0.464,1,call_center,67,0
CLM1023,auto,"Collision on the highway, front end damage and airbag deployed.",3906.52,87,0,0.0,354,1,0.88,5,0.813,0,call_center,49,0
CLM1024,health,Diagnostic tests and consultation fees for ongoing treatment.,1744.02,52,0,32.14,783,53,0.86,3,0.207,1,online,60,0
CLM1025,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",1975.07,55,0,0.0,656,12,1.0,6,0.218,1,agent,67,0
CLM1026,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",1351.0,58,1,1935.53,96,53,1.0,9,0.192,1,call_center,65,1
CLM1027,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",3651.49,51,1,1659.67,974,27,0.76,3,0.24,1,online,22,0
CLM1028,property,"Roof damaged during a storm, water leaking into the attic.",4739.86,118,1,2381.58,223,9,0.87,5,0.154,0,agent,36,0
CLM1029,auto,Side mirror and door dented in a parking lot accident.,3145.7,32,1,2866.52,690,34,0.86,2,0.32,1,online,50,0
CLM1030,property,Break-in resulted in stolen electronics and damaged front door.,4540.7,8,0,0.0,970,25,0.88,2,0.141,1,online,51,0
CLM1031,travel,Personal belongings stolen from hotel room during vacation.,859.46,36,0,0.0,457,23,0.77,4,0.606,0,call_center,52,0
CLM1032,health,"Underwent emergency surgery after an accident, submitting hospital bills.",3908.15,89,0,652.74,798,16,0.78,4,0.486,0,agent,66,0
CLM1033,health,"Physiotherapy sessions following a fracture, claiming session costs.",1901.86,78,1,903.98,506,46,0.76,3,0.591,1,call_center,33,0
CLM1034,property,"Tree fell on the garage during high winds, structural damage reported.",7872.36,109,3,4987.25,163,22,0.94,5,0.433,1,call_center,46,0
CLM1035,travel,Personal belongings stolen from hotel room during vacation.,705.01,50,1,2377.18,29,36,0.88,4,0.217,0,call_center,55,1
CLM1036,property,Pipe burst in the basement causing water damage to furniture.,6932.72,91,0,0.0,531,38,1.0,3,0.668,1,online,20,0
CLM1037,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",1149.61,3,2,2317.83,369,24,0.96,7,0.01,0,online,73,0
CLM1038,auto,"Collision on the highway, front end damage and airbag deployed.",4976.25,57,0,0.0,233,48,0.69,6,0.423,1,online,31,0
CLM1039,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",835.52,24,1,1123.77,348,35,0.76,3,0.19,0,call_center,43,0
CLM1040,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",677.3,73,0,0.0,724,12,0.84,4,0.687,1,agent,45,0
CLM1041,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",345.72,33,1,943.43,239,48,0.88,7,0.327,1,call_center,28,0
CLM1042,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",3309.9,6,1,2558.12,645,37,0.84,5,0.287,0,call_center,20,0
CLM1043,property,"Roof damaged during a storm, water leaking into the attic.",6360.89,62,2,3721.17,95,7,0.93,8,0.373,1,call_center,56,0
CLM1044,auto,Vehicle stolen from the parking lot overnight.,7106.31,94,1,2122.69,767,46,1.0,8,0.157,0,agent,40,1
CLM1045,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",296.04,91,0,751.18,994,51,1.0,6,0.676,1,agent,74,0
CLM1046,property,Pipe burst in the basement causing water damage to furniture.,5955.85,84,0,0.0,546,5,0.97,4,0.01,1,call_center,70,0
CLM1047,auto,Windshield cracked by a falling branch during a storm.,7598.46,75,0,0.0,520,3,0.68,6,0.359,1,call_center,57,0
CLM1048,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",697.77,21,0,0.0,604,41,0.93,5,0.361,1,online,39,0
CLM1049,health,"Physiotherapy sessions following a fracture, claiming session costs.",1430.3,94,0,89.06,48,16,0.88,5,0.51,0,call_center,43,0
CLM1050,auto,Windshield cracked by a falling branch during a storm.,3836.16,2,1,2233.42,312,50,1.0,6,0.278,0,call_center,24,1
CLM1051,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",1032.15,28,0,37.63,953,16,0.78,3,0.209,1,online,56,0
CLM1052,property,Pipe burst in the basement causing water damage to furniture.,10029.3,18,0,1042.24,111,21,0.65,6,0.01,0,agent,51,0
CLM1053,auto,Side mirror and door dented in a parking lot accident.,3895.5,59,0,0.0,877,5,0.98,3,0.588,0,online,54,0
CLM1054,auto,Vehicle stolen from the parking lot overnight.,4895.6,79,1,2083.17,504,37,0.87,6,0.01,1,online,68,1
CLM1055,auto,"Collision on the highway, front end damage and airbag deployed.",1908.04,20,0,0.0,559,0,0.95,5,0.503,0,call_center,43,0
CLM1056,health,Diagnostic tests and consultation fees for ongoing treatment.,297.46,10,0,503.15,650,43,1.0,5,0.517,1,call_center,19,0
CLM1057,health,"Physiotherapy sessions following a fracture, claiming session costs.",1404.33,119,1,2141.98,581,59,1.0,5,0.484,1,agent,61,0
CLM1058,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",1139.36,60,0,326.7,725,36,0.95,3,0.295,1,online,22,0
CLM1059,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",1649.13,104,0,9.21,691,37,1.0,8,0.415,0,call_center,50,0
CLM1060,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",1301.58,51,0,0.0,198,5,0.86,6,0.418,1,call_center,20,0
CLM1061,travel,Personal belongings stolen from hotel room during vacation.,1334.66,36,2,3635.78,411,54,0.86,4,0.446,0,call_center,50,0
CLM1062,auto,"Collision on the highway, front end damage and airbag deployed.",5752.21,5,0,434.8,324,11,0.78,6,0.433,0,online,62,1
CLM1063,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",1647.83,74,0,327.18,134,7,0.77,4,0.406,1,agent,40,0
CLM1064,health,"Underwent emergency surgery after an accident, submitting hospital bills.",1976.87,60,1,1498.68,324,4,0.86,7,0.225,0,call_center,73,0
CLM1065,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",2671.5,54,0,698.58,936,14,0.99,4,0.473,1,online,38,0
CLM1066,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",1968.98,90,1,1880.68,210,26,0.71,5,0.444,0,online,51,0
CLM1067,property,"Tree fell on the garage during high winds, structural damage reported.",3845.09,26,0,0.0,469,48,0.99,6,0.571,1,online,24,0
CLM1068,health,Diagnostic tests and consultation fees for ongoing treatment.,1563.85,96,0,0.0,215,50,0.71,4,0.864,0,agent,73,0
CLM1069,health,"Underwent emergency surgery after an accident, submitting hospital bills.",1919.53,66,0,0.0,113,49,1.0,6,0.408,1,call_center,47,0
CLM1070,travel,Personal belongings stolen from hotel room during vacation.,266.62,110,0,242.66,993,22,0.73,3,0.332,0,online,72,0
CLM1071,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",1224.75,72,0,71.61,239,36,0.68,5,0.522,1,online,20,0
CLM1072,auto,Vehicle stolen from the parking lot overnight.,5687.16,16,0,0.0,165,53,0.91,4,0.396,1,call_center,38,0
CLM1073,property,Break-in resulted in stolen electronics and damaged front door.,6990.96,82,2,2821.69,746,1,0.98,6,0.094,1,agent,20,0
CLM1074,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",110.94,116,2,2932.86,158,55,0.77,4,0.806,1,call_center,63,0
CLM1075,auto,Vehicle stolen from the parking lot overnight.,2109.97,73,0,551.51,235,45,1.0,7,0.374,1,online,21,1
CLM1076,property,Pipe burst in the basement causing water damage to furniture.,3721.08,37,1,1587.89,599,52,0.85,4,0.532,0,online,59,0
CLM1077,health,"Physiotherapy sessions following a fracture, claiming session costs.",2091.25,10,1,1625.99,476,57,1.0,6,0.063,0,online,63,1
CLM1078,travel,Personal belongings stolen from hotel room during vacation.,484.55,113,1,2046.66,310,33,0.65,4,0.178,0,online,72,1
CLM1079,health,Diagnostic tests and consultation fees for ongoing treatment.,2868.32,107,2,3582.51,201,25,0.62,6,0.225,0,agent,19,1
CLM1080,health,Diagnostic tests and consultation fees for ongoing treatment.,2749.71,44,1,1140.33,524,18,0.93,5,0.563,1,online,54,0
CLM1081,auto,Side mirror and door dented in a parking lot accident.,4479.63,118,3,5614.81,571,25,1.0,6,0.404,1,online,58,0
CLM1082,auto,"Collision on the highway, front end damage and airbag deployed.",4281.62,114,0,14.16,477,17,0.82,4,0.538,0,online,48,0
CLM1083,health,Diagnostic tests and consultation fees for ongoing treatment.,654.32,60,0,627.88,131,36,0.93,4,0.313,1,agent,60,0
CLM1084,travel,Personal belongings stolen from hotel room during vacation.,607.24,82,0,41.14,493,41,1.0,7,0.247,1,online,61,1
CLM1085,auto,Vehicle stolen from the parking lot overnight.,5109.7,111,0,868.86,926,24,0.9,5,0.348,0,online,56,0
CLM1086,auto,Windshield cracked by a falling branch during a storm.,4295.49,37,0,0.0,705,52,0.96,5,0.463,1,agent,63,0
CLM1087,travel,Personal belongings stolen from hotel room during vacation.,1009.57,62,1,1883.23,564,3,0.99,6,0.408,0,agent,25,1
CLM1088,travel,Luggage lost by the airline during an international transfer.,667.11,113,3,5213.3,727,48,0.76,2,0.509,0,online,26,1
CLM1089,property,Kitchen fire caused smoke damage to walls and ceiling.,4343.33,111,0,0.0,580,13,0.94,5,0.407,1,online,54,0
CLM1090,auto,Windshield cracked by a falling branch during a storm.,2011.53,88,0,22.8,38,7,0.87,4,0.531,1,call_center,22,0
CLM1091,auto,Side mirror and door dented in a parking lot accident.,4453.17,77,0,0.0,262,23,1.0,6,0.297,0,online,36,0
CLM1092,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",1043.01,60,0,0.0,747,44,0.76,3,0.212,1,call_center,74,0
CLM1093,health,"Physiotherapy sessions following a fracture, claiming session costs.",2231.62,39,0,12.32,525,45,1.0,6,0.501,1,online,44,0
CLM1094,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",2961.39,30,0,604.49,233,31,0.88,3,0.385,0,online,51,0
CLM1095,auto,"Collision on the highway, front end damage and airbag deployed.",5378.86,22,1,1520.54,22,25,0.7,4,0.663,1,call_center,73,0
CLM1096,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",134.55,29,1,2124.32,489,38,0.79,6,0.574,0,online,32,1
CLM1097,health,"Physiotherapy sessions following a fracture, claiming session costs.",2915.22,80,3,5044.56,507,0,0.84,4,0.365,0,call_center,55,0
CLM1098,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",3356.24,72,0,353.86,985,16,1.0,7,0.442,1,call_center,46,0
CLM1099,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",988.43,46,0,187.49,734,13,0.96,4,0.078,1,call_center,24,0
CLM1100,property,Pipe burst in the basement causing water damage to furniture.,6384.31,117,1,1573.85,64,12,0.75,0,0.033,1,agent,34,0
CLM1101,property,"Roof damaged during a storm, water leaking into the attic.",7116.39,8,1,3001.01,553,16,0.92,5,0.455,0,online,29,1
CLM1102,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",993.77,33,1,1299.19,589,51,0.54,2,0.71,1,online,43,0
CLM1103,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",677.94,49,1,2705.99,635,5,0.78,5,0.429,1,agent,26,0
CLM1104,auto,Side mirror and door dented in a parking lot accident.,5336.72,7,1,2837.63,390,57,0.77,3,0.697,0,agent,39,0
CLM1105,auto,Side mirror and door dented in a parking lot accident.,1694.74,119,0,863.77,288,50,0.77,5,0.358,0,online,61,0
CLM1106,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",1647.52,63,0,199.61,903,11,0.88,6,0.253,0,call_center,66,0
CLM1107,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",482.01,117,0,0.0,740,1,1.0,7,0.48,1,agent,32,0
CLM1108,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",2786.15,40,1,1961.9,794,7,0.66,3,0.02,1,agent,53,0
CLM1109,health,"Physiotherapy sessions following a fracture, claiming session costs.",3048.87,89,1,1152.66,145,58,0.42,4,0.256,1,agent,42,1
CLM1110,property,"Tree fell on the garage during high winds, structural damage reported.",1332.3,67,0,498.13,592,9,0.81,4,0.039,1,call_center,46,0
CLM1111,auto,Side mirror and door dented in a parking lot accident.,2032.82,84,0,0.0,107,36,0.93,8,0.426,1,call_center,64,0
CLM1112,property,Kitchen fire caused smoke damage to walls and ceiling.,5090.07,61,0,363.81,334,1,0.91,5,0.497,0,call_center,26,0
CLM1113,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",1552.36,106,0,33.88,242,23,0.85,5,0.38,0,agent,60,0
CLM1114,auto,Side mirror and door dented in a parking lot accident.,1635.26,45,0,0.0,946,41,0.86,4,0.206,0,call_center,72,1
CLM1115,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",2086.87,82,1,1899.14,744,48,0.85,4,0.386,1,agent,29,0
CLM1116,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",2756.53,105,0,0.0,220,1,1.0,7,0.283,0,call_center,67,0
CLM1117,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",2532.64,102,0,394.95,614,18,0.73,3,0.056,1,call_center,23,0
CLM1118,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",1399.17,71,1,1480.52,605,24,0.63,1,0.678,1,agent,50,0
CLM1119,auto,Vehicle stolen from the parking lot overnight.,50.0,26,4,7711.29,133,33,0.75,8,0.627,1,call_center,65,1
CLM1120,property,Kitchen fire caused smoke damage to walls and ceiling.,5241.94,75,0,0.0,324,20,0.91,5,0.011,0,online,30,0
CLM1121,property,"Roof damaged during a storm, water leaking into the attic.",8912.7,35,1,1498.34,670,17,0.76,2,0.323,1,online,19,0
CLM1122,health,Diagnostic tests and consultation fees for ongoing treatment.,2315.91,71,0,0.0,241,41,0.65,5,0.445,0,call_center,59,0
CLM1123,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",2045.72,26,0,0.0,10,23,0.91,4,0.206,1,call_center,74,1
CLM1124,auto,"Collision on the highway, front end damage and airbag deployed.",6684.25,18,1,2062.18,439,49,0.73,3,0.279,0,online,22,1
CLM1125,auto,Side mirror and door dented in a parking lot accident.,3576.67,92,0,729.75,523,9,0.83,2,0.413,0,agent,26,0
CLM1126,health,"Underwent emergency surgery after an accident, submitting hospital bills.",1315.96,118,0,151.34,937,48,1.0,5,0.025,0,agent,28,1
CLM1127,auto,Windshield cracked by a falling branch during a storm.,2482.06,70,0,246.69,708,12,0.7,5,0.389,0,agent,66,0
CLM1128,auto,"Collision on the highway, front end damage and airbag deployed.",6456.86,44,0,0.0,259,21,0.98,5,0.01,1,agent,23,0
CLM1129,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",3642.33,55,0,0.0,446,29,0.95,4,0.199,1,call_center,74,0
CLM1130,property,Break-in resulted in stolen electronics and damaged front door.,5290.26,72,1,1654.6,784,11,0.79,4,0.119,0,call_center,55,0
CLM1131,health,"Underwent emergency surgery after an accident, submitting hospital bills.",2266.03,67,0,182.65,407,25,0.61,5,0.01,1,online,21,0
CLM1132,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",3175.09,45,0,0.0,216,41,0.51,3,0.466,0,agent,47,0
CLM1133,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",2983.5,66,0,0.0,822,32,0.87,5,0.407,1,call_center,53,0
CLM1134,travel,Luggage lost by the airline during an international transfer.,540.21,21,0,120.93,537,14,0.9,3,0.495,0,call_center,21,0
CLM1135,property,Kitchen fire caused smoke damage to walls and ceiling.,6147.16,23,0,0.0,517,18,0.82,4,0.237,0,online,51,0
CLM1136,travel,Personal belongings stolen from hotel room during vacation.,623.97,80,1,2018.47,772,38,0.8,6,0.54,1,online,57,0
CLM1137,health,Diagnostic tests and consultation fees for ongoing treatment.,1051.63,116,0,0.0,768,34,0.82,8,0.269,1,online,24,0
CLM1138,property,Pipe burst in the basement causing water damage to furniture.,4298.42,21,0,0.0,591,20,0.79,5,0.043,1,agent,27,0
CLM1139,health,"Underwent emergency surgery after an accident, submitting hospital bills.",886.12,101,1,2398.29,995,48,0.93,5,0.345,0,online,28,0
CLM1140,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",1425.7,104,1,1942.44,925,37,0.72,4,0.578,1,agent,59,0
CLM1141,auto,Windshield cracked by a falling branch during a storm.,4686.37,58,0,705.28,232,20,0.78,6,0.405,1,agent,45,0
CLM1142,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",914.4,83,0,0.0,940,0,0.74,4,0.397,0,call_center,40,0
CLM1143,property,Kitchen fire caused smoke damage to walls and ceiling.,1958.62,11,3,5992.85,442,4,0.7,5,0.549,1,online,22,0
CLM1144,property,"Tree fell on the garage during high winds, structural damage reported.",2242.23,49,0,227.94,836,13,0.77,7,0.221,1,online,58,0
CLM1145,property,Kitchen fire caused smoke damage to walls and ceiling.,10366.86,95,0,0.0,288,59,1.0,4,0.141,1,online,51,0
CLM1146,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",1160.75,30,2,4030.24,113,55,0.87,4,0.317,1,agent,38,0
CLM1147,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",1446.18,104,1,1385.77,736,10,0.83,6,0.696,0,call_center,39,0
CLM1148,auto,Side mirror and door dented in a parking lot accident.,2446.32,50,0,154.42,407,23,0.89,7,0.398,0,agent,61,1
CLM1149,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",4192.51,39,1,1674.77,229,46,0.94,5,0.516,1,agent,25,0
CLM1150,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",805.94,106,1,2572.26,405,45,0.72,5,0.487,1,online,56,0
CLM1151,health,Diagnostic tests and consultation fees for ongoing treatment.,2454.03,12,1,2363.18,418,52,0.89,6,0.329,1,agent,74,0
CLM1152,auto,Windshield cracked by a falling branch during a storm.,2996.72,4,2,3391.9,805,37,0.71,2,0.546,1,call_center,38,0
CLM1153,property,Kitchen fire caused smoke damage to walls and ceiling.,4386.93,58,1,2603.06,766,23,0.9,7,0.152,1,call_center,51,0
CLM1154,property,"Roof damaged during a storm, water leaking into the attic.",7659.82,19,0,0.0,740,29,0.78,5,0.233,1,call_center,72,0
CLM1155,travel,Personal belongings stolen from hotel room during vacation.,1247.89,118,1,2072.56,260,19,0.98,4,0.411,1,agent,65,0
CLM1156,property,Pipe burst in the basement causing water damage to furniture.,7535.21,94,1,1594.29,849,58,0.72,5,0.212,1,call_center,62,0
CLM1157,health,Diagnostic tests and consultation fees for ongoing treatment.,2963.24,100,0,0.0,260,38,0.83,4,0.53,0,agent,56,1
CLM1158,health,"Physiotherapy sessions following a fracture, claiming session costs.",1101.78,31,1,1749.92,725,29,0.9,5,0.174,1,call_center,41,0
CLM1159,property,"Tree fell on the garage during high winds, structural damage reported.",3479.16,54,0,0.0,729,12,0.71,3,0.01,0,agent,23,0
CLM1160,auto,Windshield cracked by a falling branch during a storm.,3932.39,15,1,2242.3,666,43,0.86,3,0.128,1,agent,73,0
CLM1161,health,"Physiotherapy sessions following a fracture, claiming session costs.",2713.07,12,0,0.0,425,32,0.84,7,0.403,1,agent,67,0
CLM1162,property,Break-in resulted in stolen electronics and damaged front door.,9036.2,39,1,1681.68,966,45,0.51,4,0.431,0,agent,23,0
CLM1163,travel,Luggage lost by the airline during an international transfer.,1634.69,76,0,0.0,936,37,0.81,4,0.376,1,call_center,27,0
CLM1164,travel,Luggage lost by the airline during an international transfer.,1060.93,116,1,1769.48,680,57,0.72,3,0.367,1,call_center,45,0
CLM1165,auto,Side mirror and door dented in a parking lot accident.,4022.82,89,0,0.0,427,18,0.74,4,0.423,1,agent,22,0
CLM1166,property,Pipe burst in the basement causing water damage to furniture.,4658.03,48,1,1478.23,828,19,1.0,7,0.283,0,online,23,0
CLM1167,property,Pipe burst in the basement causing water damage to furniture.,6893.95,107,0,12.11,990,5,0.96,7,0.334,1,online,63,0
CLM1168,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",3463.61,4,3,6296.46,837,24,1.0,6,0.189,1,online,20,0
CLM1169,health,"Physiotherapy sessions following a fracture, claiming session costs.",2385.31,83,3,6048.5,457,20,1.0,5,0.15,1,agent,41,0
CLM1170,auto,Vehicle stolen from the parking lot overnight.,2510.75,41,1,1040.78,75,56,0.79,6,0.329,1,agent,40,0
CLM1171,health,Diagnostic tests and consultation fees for ongoing treatment.,1205.93,16,0,0.0,483,39,0.9,6,0.248,1,call_center,73,0
CLM1172,travel,Luggage lost by the airline during an international transfer.,956.87,38,0,514.34,533,34,1.0,4,0.495,1,agent,74,0
CLM1173,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",2650.8,91,1,1513.85,888,45,0.81,2,0.302,1,call_center,55,0
CLM1174,auto,"Collision on the highway, front end damage and airbag deployed.",2839.11,40,2,4021.71,944,56,0.85,5,0.358,1,agent,36,0
CLM1175,health,"Physiotherapy sessions following a fracture, claiming session costs.",2826.3,19,1,1688.27,934,52,1.0,5,0.346,0,call_center,53,0
CLM1176,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",177.13,59,1,1621.45,68,27,0.97,6,0.462,1,online,25,0
CLM1177,health,Diagnostic tests and consultation fees for ongoing treatment.,1586.08,11,2,3568.39,325,47,0.6,1,0.386,0,online,37,1
CLM1178,health,"Physiotherapy sessions following a fracture, claiming session costs.",1630.3,54,0,0.0,559,14,0.89,4,0.636,1,agent,58,0
CLM1179,property,"Tree fell on the garage during high winds, structural damage reported.",3565.53,4,0,0.0,941,2,0.91,4,0.421,0,agent,39,0
CLM1180,travel,Personal belongings stolen from hotel room during vacation.,1308.09,82,0,0.0,780,5,0.82,5,0.01,1,call_center,43,0
CLM1181,health,Diagnostic tests and consultation fees for ongoing treatment.,1581.13,48,0,579.51,824,48,1.0,6,0.253,1,call_center,30,0
CLM1182,travel,Luggage lost by the airline during an international transfer.,247.18,106,0,0.0,382,40,0.8,6,0.376,1,agent,26,1
CLM1183,property,Break-in resulted in stolen electronics and damaged front door.,4692.51,64,2,4340.28,558,44,0.86,4,0.419,0,call_center,18,1
CLM1184,health,Diagnostic tests and consultation fees for ongoing treatment.,882.0,90,2,4005.35,859,45,1.0,6,0.514,1,agent,40,0
CLM1185,auto,Windshield cracked by a falling branch during a storm.,2327.06,111,0,0.0,84,48,0.89,3,0.245,1,call_center,50,1
CLM1186,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",3089.88,77,0,225.82,210,50,0.9,3,0.392,1,agent,71,1
CLM1187,property,Kitchen fire caused smoke damage to walls and ceiling.,6950.83,107,0,0.0,813,14,1.0,3,0.56,1,call_center,43,0
CLM1188,health,"Underwent emergency surgery after an accident, submitting hospital bills.",2289.17,102,1,2895.41,866,31,0.73,2,0.278,1,online,20,0
CLM1189,travel,Luggage lost by the airline during an international transfer.,864.78,24,0,0.0,440,27,0.8,4,0.396,0,call_center,54,0
CLM1190,health,Diagnostic tests and consultation fees for ongoing treatment.,2680.07,113,1,2557.32,930,47,1.0,9,0.356,0,online,69,1
CLM1191,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",848.57,107,0,0.0,234,50,0.83,4,0.131,1,agent,67,0
CLM1192,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",268.31,35,1,1030.17,201,48,0.63,1,0.456,0,agent,46,0
CLM1193,health,Diagnostic tests and consultation fees for ongoing treatment.,4105.77,86,0,0.0,343,50,1.0,4,0.098,1,agent,20,0
CLM1194,auto,Vehicle stolen from the parking lot overnight.,50.0,92,2,3745.93,866,10,0.96,7,0.742,0,call_center,53,0
CLM1195,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",690.61,17,2,3732.94,91,52,0.83,7,0.278,1,online,51,0
CLM1196,property,Break-in resulted in stolen electronics and damaged front door.,7864.72,12,2,3727.64,620,43,0.79,6,0.06,0,agent,69,0
CLM1197,health,"Underwent emergency surgery after an accident, submitting hospital bills.",1544.77,75,1,1772.55,465,50,1.0,6,0.454,1,agent,70,0
CLM1198,property,Break-in resulted in stolen electronics and damaged front door.,9497.42,96,0,296.78,575,37,0.82,0,0.481,0,agent,20,1
CLM1199,auto,Windshield cracked by a falling branch during a storm.,6924.86,43,1,1535.86,320,20,0.81,6,0.392,1,agent,33,0
